,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,fatal_N,fatal_Unknown,fatal_Y,age_jovenes,age_adultos,age_ancianos,type.1,species_.1,fecha_limpia.1,age_n_manual,age_n_log,age_n_raiz,age_n_box,age_minmax
109,2017,Unprovoked,bahamas,27,Unespecific,Jul,N,M,1,-78.0000547,1,0,0,1,0,0,7,3,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
110,2017,Unprovoked,"st helena, british overseas territory",37,Unespecific,Jul,N,M,1,o,1,0,0,0,1,0,7,3,6,0.11437910941228391,3.6109179126442243,6.082762530298219,7.404632331573262,0.41860465116279066
111,2017,Unprovoked,usa,27,Tiger shark,Jul,N,F,1,-100.445882,1,0,0,1,0,0,7,2,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
112,2017,Unprovoked,spain,27,Lemon shark,Jul,N,F,1,-4.8379791,1,0,0,1,0,0,7,1,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
113,2017,Unprovoked,usa,40,Lemon shark,Jul,N,F,1,-100.445882,1,0,0,0,1,0,7,1,6,0.14926283034251647,3.6888794541139363,6.324555320336759,7.694116247373475,0.45348837209302323
114,2017,Invalid,usa,8,Tiger shark,Jul,Unknown,F,1,-100.445882,0,1,0,1,0,0,3,2,6,-0.2228301929132975,2.0794415416798357,2.8284271247461903,3.0924534898737304,0.08139534883720931
115,2017,Boating,usa,40,White shark,Jul,N,M,1,-100.445882,1,0,0,0,1,0,1,4,6,0.14926283034251647,3.6888794541139363,6.324555320336759,7.694116247373475,0.45348837209302323
116,2017,Unprovoked,usa,50,White shark,Jul,N,M,1,-100.445882,1,0,0,0,1,0,7,4,6,0.2655419001099583,3.912023005428146,7.0710678118654755,8.568961017177946,0.5697674418604651
117,2017,Unprovoked,usa,27,White shark,Jul,N,M,1,-100.445882,1,0,0,1,0,0,7,4,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
118,2017,Unprovoked,australia,27,Unespecific,Jul,N,M,0,134.755,1,0,0,1,0,0,7,3,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
119,2017,Boating,usa,27,White shark,Jul,N,M,1,-100.445882,1,0,0,1,0,0,1,4,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
120,2017,Unprovoked,usa,46,Tiger shark,Jul,N,M,1,-100.445882,1,0,0,0,1,0,7,2,6,0.21903027220298157,3.828641396489095,6.782329983125268,8.233822118168822,0.5232558139534883
121,2017,Provoked,mexico,32,Tiger shark,Jul,N,M,1,-102.0077097,1,0,0,0,1,0,4,2,6,0.05623957452856297,3.4657359027997265,5.656854249492381,6.886696297701842,0.36046511627906974
122,2017,Unprovoked,south africa,13,White shark,Jul,N,F,0,24.991639,1,0,0,1,0,0,7,4,6,-0.16469065802957655,2.5649493574615367,3.605551275463989,4.212483084143039,0.13953488372093023
123,2017,Invalid,comoros,27,Tiger shark,Jul,Unknown,M,0,44.2832964,0,1,0,1,0,0,3,2,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
124,2017,Invalid,usa,27,Tiger shark,Jun,Unknown,M,1,-100.445882,0,1,0,1,0,0,3,2,7,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
125,2017,Unprovoked,usa,16,Unespecific,Jun,N,F,1,-100.445882,1,0,0,1,0,0,7,3,7,-0.12980693709934402,2.772588722239781,4.0,4.754472937004027,0.1744186046511628
126,2017,Unprovoked,usa,27,Unespecific,Jun,N,M,1,-100.445882,1,0,0,1,0,0,7,3,7,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
127,2017,Unprovoked,usa,14,Tiger shark,Jun,N,F,1,-100.445882,1,0,0,1,0,0,7,2,7,-0.15306275105283237,2.6390573296152584,3.7416573867739413,4.401298165473145,0.15116279069767444
128,2017,Unprovoked,reunion,34,Lemon shark,Jun,N,M,0,55.536480112992315,1,0,0,0,1,0,7,1,7,0.07949538848205134,3.5263605246161616,5.830951894845301,7.0996926693035265,0.3837209302325581
